English,Chichewa
lion,nkango
leopard,nyalugwe
elephant,njobvu
hippopotamus,mvuu
baboon,nyani
monkey,nyundo/pusi
dog,galu
hyena,fisi
eland,ntchefu
bush-buck,chitsamba/tonde
porcupine,nungu
mouse,mbewa
ox,ng'ombe
goat,mbuzi
sheep,nkhosa
pig (wild or tame),nguluwe
bird,mbalame
vulture,Miimba
hornbills,analikoma
guinea-fowl,nkhanga
finch,mapingo
crocodile,ng'ona
snake,njoka
monitor lizard,ng'azi/gondwa
python,nsato
fish,nsomba
fly,ntchentche
crab,nkhanu
maggot,mbozi/mphutsi
bee,njuchi
octopus,okutopasi
Zebra,mbidzi
Horse,hatchi/kavalo
Wart-hog,njiri
hawk,kabawi/mphamba
eland,ntchefu
buffalo,njati
antelope,mbawala
bat,mleme
wild dog,galu wamtchire
butterfly,gulugufe
chameleon,bilimankhwe
cat,mphaka
camel,ngamila
cheetah,kakwiyo
chimpazee,chiyendayekha
civet,asimba
deer,Gwape
dik-dik,dikidiki
dragonfly,tombolombo
duiker,agwape
dolphin,dolopfini
donkey,bulu
duck,bakha
eland,ntchefu
fish,nsomba
catfish,mlamba
flamingo,ziswankhono
gazelle,mphoyo
giraffe,kadyansonga
guinea pig,mbira
impala,nswala
insects,tizilombo
jackal,nkhandwe
kudu,ngoma
lizard,buluzi
mosquito,udzudzu
moth,njenjete
ostritch,nthiwatiwa
owl,kadzidzi
pangolin,ngaka
rabbit,kalulu
rat,khoswe
rooster,tambala
snail,nkhono
spider,kangaude
squirrel,gologolo
waterbuck,nyala
eagle,chiombankhanga
parrot,zinkhwe
rhino,chipembere
whale,anangumi
tiger ,kambuku
dog,galu
