English,Chichewa
as,monga
I,ine
his,wake
that,kuti
he,iye
was,anali
for,chifukwa
on,pa
are,ali
with,ndi
they,iwo
be,kukhala
at,pa
one,mmodzi
have,ndi
this,izi
from,kuchokera
by,ndi
hot,wotentha
word,mawu
but,koma
what,chani
some,ena
is,ndi
it,izo
you,inu
or,kapena
had,anali
the,ndi
of,a
to,kuti
and,ndipo
a,ndi
in,mu
we,ife
can,ndingathere
out,kuchokera
other,ena
were,anali
which,umene
do,kuchita
their,awo
time,nthawi
if,ngati
will,adzatero
how,bwanji
said,anati
an,ndi
each,aliyense
tell,ndikuuzeni
does,amachita
set,anasiyira
three,zitatu
want,tikufuna
air,mpweya
well,bwino
also,komanso
play,kusewera
small,waung’ono
end,tsiriza
put,kuika
home,kunyumba
read,kuwerenga
hand,dzanja
port,doko
large,yaikulu
spell,kuziwerenga
add,wonjezerani
even,ngakhale
land,dziko
here,pano
must,ayenela
big,yaikulu
high,mkulu
such,oterowo
follow,kutsatira
act,mchitidwe
why,chifukwa
ask,kufunsa
men,anthu
change,kusintha
went,anapita
light,kuunika
kind,mtundu
off,kuchokera
need,amafunika
house,m’nyumba
picture,chithunzi
try,kuyesa
us,ife
again,kachiwiri
animal,nyama
point,mfundo
mother,mayi
world,dziko
near,pafupi
build,kumanga
self,kudziona
earth,lapansi
father,bambo
any,aliyense
new,watsopano
work,ntchito
part,gawo
take,kutenga
get,kupeza
place,malo
made,anapanga
live,moyo
where,pamene
after,pambuyo
back,mmbuyo
little,wamng’ono
only,yokha
round,wozungulira
man,munthu
year,chaka
came,anabwera
show,bwanji
every,lirilonse
good,uthenga
me,ine
give,kupereka
our,yathu
under,pansi
name,dzina
very,kwambiri
through,kudzera
just,basi
form,mawonekedwe
sentence,chiganizo
great,kwakukulu
think,ndikuganiza
say,mukuti
help,thandizeni
low,otsika
line,mzere
differ,amasiyana
turn,Ndiyeno
cause,chifukwa
much,mochuluka
mean,ndikutanthauza
before,pamaso
move,kusuntha
right,pomwe
boy,mnyamata
old,wakale
too,Ifenso
same,yemweyo
she,iye
all,onse
there,apo
when,liti
up,pamwamba
use,ntchito
your,anu
way,njira
about,za
many,ambiri
then,Ndiyeno
them,iwo
write,kulemba
would,akanatero
like,monga
so,kotero
these,awa
her,iye
long,yaitali
make,kupanga
thing,chinthu
see,onani
him,iye
two,awiri
has,ali
look,kuyang’ana
more,zambiri
day,tsiku
could,akanatha
go,kupita
come,anabwera
did,anachitira
number,chiwerengero
sound,kumveka
no,palibe
most,kwambiri
people,anthu
my,wanga
over,zoposa
know,ndikudziwa
water,madzi
than,kuposa
call,kuitana
first,yoyamba
who,amene
may,mulole
down,pansi
side,mbali
been,akhala
now,tsopano
find,kupeza
head,mutu
stand,kuyima
own,mwini
page,tsamba
should,tiyenera
country,dziko
found,anapeza
answer,yankho
school,sukulu
grow,kukula
study,kuphunzira
still,adakali
learn,kuphunzira
plant,chomera
cover,chivundikiro
food,chakudya
sun,dzuwa
four,zinayi
between,pakati
state,mkhalidwe
keep,kusunga
eye,diso
never,konse
last,otsiriza
let,tiyeni
thought,ndinaganiza
city,mzinda
tree,mtengo
cross,kuwoloka
farm,famu
hard,zolimba
start,chiyambi
might,akhoza
story,nkhani
saw,macheka
far,mpaka
sea,panyanja
draw,kudzatunga
left,anasiya
late,mochedwa
run,amathamanga
don’t,osa
while,pamene
press,osindikizira
close,pafupi
night,usiku
real,kwenikweni
life,moyo
few,zochepa
north,kumpoto
book,buku
carry,kunyamula
took,anatenga
science,sayansi
eat,kudya
room,chipinda
friend,bwenzi
began,anayamba
idea,lingaliro
fish,nsomba
mountain,phiri
stop,imani
once,kamodzi
base,m’munsi
hear,akumva
horse,kavalo
cut,wosemedwa
sure,wotsimikiza
watch,penyani
color,mtundu
face,nkhope
wood,mitengo
main,chachikulu
open,lotseguka
seem,amaoneka
together,pamodzi
next,ena
white,yoyera
children,ana
begin,yamba
got,tiri
walk,kuyenda
example,Mwachitsanzo
ease,kuchepetsa
paper,pepala
group,gulu
always,nthawizonse
music,nyimbo
those,anthu
both,onse
mark,chilemba
often,Nthawi zambiri
letter,kalata
until,kufikira
mile,mtunda
river,mtsinjewo
car,galimoto
feet,mapazi
care,kusamalira
second,yachiwiri
enough,zokwanira
plain,momveka
girl,mtsikana
usual,mwachizolowezi
young,mnyamata
ready,wokonzeka
above,pamwamba
ever,munayamba
red,wofiira
list,mndandanda
though,Komabe
feel,ndikumverera
talk,nkhani
bird,mbalame
soon,posachedwapa
body,thupi
dog,galu
family,banja
direct,mwachindunji
pose,angabweretse
leave,kusiya
song,nyimbo
measure,kuyeza
door,chitseko
product,chotuluka
black,chakuda
short,yochepa
numeral,numeral
class,m’kalasi
wind,mphepo
question,funso
happen,kuchitika
complete,amphumphu
ship,sitima
area,dera
half,hafu
rock,thanthwe
order,pofuna
fire,moto
south,kum’mwera
problem,vuto
piece,chidutswa
told,anauza
knew,ankadziwa
pass,pochitika
since,popeza
top,pamwamba
whole,lonse
king,mfumu
street,msewu
inch,inchi
multiply,kuchulukitsa
nothing,kanthu
course,Inde
stay,khalani
wheel,gudumu
full,zonse
force,mphamvu
blue,buluu
object,chinthu
decide,wosankha
surface,pamwamba
deep,zozama
moon,mwezi
island,chilumba
foot,phazi
system,dongosolo
busy,tanganidwa
test,chiyeso
record,mbiri
boat,ngalawa
common,wamba
gold,golide
possible,n’kotheka
plane,ndege
stead,mmalo
dry,youma
wonder,ndikudabwa
laugh,kuseka
thousand,zikwi
ago,zapitazo
ran,anathamangira
check,fufuzani
game,masewera
shape,mawonekedwe
equate,amaganiza kuti kukhala
hot,wotentha
miss,Abiti
brought,anabweretsa
heat,kutentha
snow,chisanu
tire,tayala
bring,kubweretsa
yes,inde
distant,lakutali
fill,mudzaze
east,kum’mawa
paint,kujambula
language,chinenero
among,pakati
unit,unit
power,mphamvu
town,m’tauni
fine,zabwino
certain,ena
fly,kuuluka
fall,kugwera
